node_name
ACALD
ACALDt
ACKr
ACONTa
ACONTb
ACt2r
ADK1
AKGDH
AKGt2r
ALCD2x
ATPM
ATPS4r
Biomass_Ecoli_core_w_GAM
CO2t
CS
CYTBD
D_LACt2
ENO
ETOHt2r
EX_ac(e)
EX_acald(e)
EX_akg(e)
EX_co2(e)
EX_etoh(e)
EX_for(e)
EX_fru(e)
EX_fum(e)
EX_glc(e)
EX_gln_L(e)
EX_glu_L(e)
EX_h(e)
EX_h2o(e)
EX_lac_D(e)
EX_mal_L(e)
EX_nh4(e)
EX_o2(e)
EX_pi(e)
EX_pyr(e)
EX_succ(e)
FBA
FBP
FORt2
FORti
FRD7
FRUpts2
FUM
FUMt2_2
G6PDH2r
GAPD
GLCpts
GLNS
GLNabc
GLUDy
GLUN
GLUSy
GLUt2r
GND
H2Ot
ICDHyr
ICL
LDH_D
MALS
MALt2_2
MDH
ME1
ME2
NADH16
NADTRHD
NH4t
O2t
PDH
PFK
PFL
PGI
PGK
PGL
PGM
PIt2r
PPC
PPCK
PPS
PTAr
PYK
PYRt2r
RPE
RPI
SUCCt2_2
SUCCt3
SUCDi
SUCOAS
TALA
THD2
TKT1
TKT2
TPI
rev_ACALD
rev_ACALDt
rev_ACKr
rev_ACONTa
rev_ACONTb
rev_ACt2r
rev_ADK1
rev_AKGDH
rev_AKGt2r
rev_ALCD2x
rev_ATPM
rev_ATPS4r
rev_Biomass_Ecoli_core_w_GAM
rev_CO2t
rev_CS
rev_CYTBD
rev_D_LACt2
rev_ENO
rev_ETOHt2r
rev_EX_ac(e)
rev_EX_acald(e)
rev_EX_akg(e)
rev_EX_co2(e)
rev_EX_etoh(e)
rev_EX_for(e)
rev_EX_fru(e)
rev_EX_fum(e)
rev_EX_glc(e)
rev_EX_gln_L(e)
rev_EX_glu_L(e)
rev_EX_h(e)
rev_EX_h2o(e)
rev_EX_lac_D(e)
rev_EX_mal_L(e)
rev_EX_nh4(e)
rev_EX_o2(e)
rev_EX_pi(e)
rev_EX_pyr(e)
rev_EX_succ(e)
rev_FBA
rev_FBP
rev_FORt2
rev_FORti
rev_FRD7
rev_FRUpts2
rev_FUM
rev_FUMt2_2
rev_G6PDH2r
rev_GAPD
rev_GLCpts
rev_GLNS
rev_GLNabc
rev_GLUDy
rev_GLUN
rev_GLUSy
rev_GLUt2r
rev_GND
rev_H2Ot
rev_ICDHyr
rev_ICL
rev_LDH_D
rev_MALS
rev_MALt2_2
rev_MDH
rev_ME1
rev_ME2
rev_NADH16
rev_NADTRHD
rev_NH4t
rev_O2t
rev_PDH
rev_PFK
rev_PFL
rev_PGI
rev_PGK
rev_PGL
rev_PGM
rev_PIt2r
rev_PPC
rev_PPCK
rev_PPS
rev_PTAr
rev_PYK
rev_PYRt2r
rev_RPE
rev_RPI
rev_SUCCt2_2
rev_SUCCt3
rev_SUCDi
rev_SUCOAS
rev_TALA
rev_THD2
rev_TKT1
rev_TKT2
rev_TPI
